epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
40,5331.19,0.33732,0.4043,0.14723,0.90246,0.90827,0.91102,0.58829,0.40956,0.44267,0.27217,6.139e-05,6.139e-05,6.139e-05
41,5464.43,0.33119,0.40011,0.14328,0.90386,0.92642,0.92509,0.5929,0.40613,0.44083,0.2721,6.04e-05,6.04e-05,6.04e-05
42,5597.52,0.3294,0.39909,0.14401,0.91314,0.92752,0.93214,0.5914,0.41179,0.44565,0.27846,5.941e-05,5.941e-05,5.941e-05
43,5730.62,0.32496,0.39621,0.14736,0.89738,0.91515,0.91399,0.58002,0.41598,0.44364,0.27464,5.842e-05,5.842e-05,5.842e-05
44,5863.8,0.32688,0.39435,0.14231,0.90607,0.91627,0.91662,0.58773,0.40686,0.4384,0.26911,5.743e-05,5.743e-05,5.743e-05
45,5996.7,0.32246,0.38967,0.14117,0.90661,0.9073,0.92447,0.59406,0.40708,0.43909,0.27222,5.644e-05,5.644e-05,5.644e-05
46,6129.6,0.32388,0.39022,0.14461,0.9115,0.90909,0.91961,0.59274,0.4113,0.43521,0.27164,5.545e-05,5.545e-05,5.545e-05
47,6262.63,0.31674,0.38923,0.14158,0.90328,0.92947,0.92406,0.58512,0.41505,0.44451,0.27787,5.446e-05,5.446e-05,5.446e-05
48,6396.19,0.31464,0.38534,0.14128,0.91073,0.91961,0.91834,0.58746,0.41508,0.44324,0.27619,5.347e-05,5.347e-05,5.347e-05
49,6529.5,0.31867,0.38716,0.14071,0.89959,0.92819,0.92801,0.59753,0.40762,0.43477,0.27128,5.248e-05,5.248e-05,5.248e-05
50,6663.24,0.31565,0.38482,0.14311,0.91491,0.91814,0.92483,0.59219,0.40972,0.43367,0.27215,5.149e-05,5.149e-05,5.149e-05
51,6796.56,0.31246,0.38254,0.13705,0.91374,0.9186,0.9246,0.58824,0.42088,0.43982,0.28368,5.05e-05,5.05e-05,5.05e-05
52,6930.22,0.3151,0.38446,0.13895,0.90881,0.91726,0.92537,0.58917,0.42234,0.44739,0.28153,4.951e-05,4.951e-05,4.951e-05
53,7063.64,0.31061,0.38056,0.13507,0.91987,0.91779,0.92147,0.58642,0.42142,0.43049,0.28083,4.852e-05,4.852e-05,4.852e-05
54,7196.88,0.30624,0.37968,0.13591,0.9192,0.91979,0.92387,0.59093,0.41331,0.43884,0.27504,4.753e-05,4.753e-05,4.753e-05
55,7330.04,0.30729,0.37606,0.13599,0.90989,0.92037,0.92413,0.58885,0.41353,0.43774,0.27372,4.654e-05,4.654e-05,4.654e-05
56,7463.5,0.30184,0.37332,0.13527,0.91117,0.92337,0.93424,0.5926,0.41427,0.43301,0.27496,4.555e-05,4.555e-05,4.555e-05
57,7596.61,0.30652,0.38211,0.13494,0.92695,0.93077,0.93911,0.59543,0.41469,0.43465,0.27653,4.456e-05,4.456e-05,4.456e-05
58,7729.7,0.30045,0.37643,0.13342,0.92088,0.93199,0.93778,0.60141,0.40459,0.43346,0.26835,4.357e-05,4.357e-05,4.357e-05
59,7862.93,0.30301,0.37115,0.13505,0.92272,0.92755,0.92931,0.59283,0.42042,0.43444,0.28188,4.258e-05,4.258e-05,4.258e-05
60,7995.86,0.3001,0.37273,0.13463,0.93137,0.93006,0.93463,0.5934,0.41761,0.43342,0.27559,4.159e-05,4.159e-05,4.159e-05
61,8128.69,0.29338,0.36477,0.12935,0.9166,0.91526,0.92493,0.589,0.41613,0.43799,0.28043,4.06e-05,4.06e-05,4.06e-05
62,8261.85,0.29375,0.36839,0.13046,0.91739,0.93388,0.93441,0.59424,0.41437,0.43731,0.27644,3.961e-05,3.961e-05,3.961e-05
63,8394.96,0.29654,0.3674,0.13142,0.92362,0.93404,0.94041,0.59608,0.41043,0.43667,0.2685,3.862e-05,3.862e-05,3.862e-05
64,8528.22,0.29169,0.36219,0.12915,0.92029,0.92267,0.9276,0.59099,0.41649,0.43075,0.28077,3.763e-05,3.763e-05,3.763e-05
65,8661.9,0.29042,0.36141,0.12837,0.9208,0.92143,0.92395,0.58823,0.41554,0.43424,0.27699,3.664e-05,3.664e-05,3.664e-05
66,8795.04,0.29208,0.36658,0.12902,0.92024,0.91881,0.92616,0.58486,0.41761,0.43459,0.27659,3.565e-05,3.565e-05,3.565e-05
67,8928.18,0.29023,0.36471,0.1262,0.91552,0.91872,0.92374,0.58513,0.41735,0.44351,0.2802,3.466e-05,3.466e-05,3.466e-05
68,9061.59,0.28884,0.3603,0.12607,0.91645,0.92368,0.93263,0.59342,0.40856,0.42888,0.27256,3.367e-05,3.367e-05,3.367e-05
69,9194.65,0.28741,0.36243,0.12661,0.90751,0.91982,0.9227,0.58773,0.41832,0.43723,0.28093,3.268e-05,3.268e-05,3.268e-05
70,9327.83,0.28105,0.3576,0.12456,0.91926,0.92456,0.92814,0.59638,0.41184,0.43443,0.2742,3.169e-05,3.169e-05,3.169e-05
71,9461.16,0.2813,0.35422,0.12178,0.90906,0.92367,0.92644,0.5909,0.41758,0.43096,0.27886,3.07e-05,3.07e-05,3.07e-05
72,9594.52,0.28295,0.3537,0.12595,0.91592,0.91827,0.92224,0.58862,0.41605,0.42783,0.27694,2.971e-05,2.971e-05,2.971e-05
73,9728.03,0.27967,0.35333,0.12181,0.91794,0.91571,0.92267,0.58797,0.41835,0.43166,0.28158,2.872e-05,2.872e-05,2.872e-05
