epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
44,1843.61,1.26702,0.94812,0.01033,0.83329,0.82594,0.89789,0.59509,1.32235,0.81882,0.01539,0.005743,0.005743,0.005743
45,1885.33,1.24506,0.89273,0.01026,0.82078,0.81323,0.88678,0.58265,1.34196,0.84879,0.01541,0.005644,0.005644,0.005644
46,1926.92,1.2603,0.93099,0.01025,0.85959,0.84659,0.90536,0.59598,1.32307,0.8117,0.01545,0.005545,0.005545,0.005545
47,1968.62,1.22077,0.88077,0.00995,0.84248,0.82999,0.89753,0.59304,1.33922,0.80674,0.01542,0.005446,0.005446,0.005446
48,2010.27,1.21,0.86051,0.00996,0.82966,0.84664,0.88471,0.5812,1.3085,0.83207,0.01514,0.005347,0.005347,0.005347
49,2051.78,1.22154,0.90119,0.01,0.82652,0.81253,0.88609,0.57464,1.34872,0.86117,0.01565,0.005248,0.005248,0.005248
50,2093.34,1.23407,0.87854,0.01021,0.83597,0.85072,0.90057,0.58462,1.35185,0.79944,0.01587,0.005149,0.005149,0.005149
51,2134.87,1.20491,0.87014,0.00974,0.8602,0.85426,0.91652,0.60739,1.32584,0.74897,0.01515,0.00505,0.00505,0.00505
52,2176.55,1.22131,0.87693,0.01002,0.85877,0.8426,0.90735,0.59622,1.31821,0.82484,0.01539,0.004951,0.004951,0.004951
53,2217.99,1.22463,0.87364,0.00998,0.87582,0.8417,0.91006,0.60654,1.3137,0.74805,0.01533,0.004852,0.004852,0.004852
54,2259.57,1.21238,0.87908,0.00987,0.85781,0.86825,0.91232,0.60983,1.28899,0.74507,0.01476,0.004753,0.004753,0.004753
55,2301.25,1.17436,0.84113,0.00956,0.86526,0.84029,0.90666,0.59974,1.30723,0.78162,0.01512,0.004654,0.004654,0.004654
56,2342.87,1.18412,0.84584,0.00968,0.84947,0.83909,0.89786,0.59087,1.32049,0.76898,0.01546,0.004555,0.004555,0.004555
57,2384.48,1.19209,0.82643,0.00981,0.83254,0.8436,0.90561,0.5925,1.31666,0.7934,0.01502,0.004456,0.004456,0.004456
58,2426.12,1.17595,0.81776,0.00959,0.87673,0.85964,0.91756,0.60213,1.28734,0.71974,0.01482,0.004357,0.004357,0.004357
59,2467.73,1.19043,0.83561,0.00968,0.85958,0.85837,0.91531,0.60978,1.29588,0.75403,0.01485,0.004258,0.004258,0.004258
60,2509.42,1.16986,0.82143,0.00949,0.85201,0.84798,0.90775,0.60181,1.29843,0.73907,0.01487,0.004159,0.004159,0.004159
61,2551.02,1.16867,0.79963,0.00939,0.87064,0.88758,0.92338,0.61529,1.28889,0.68679,0.01473,0.00406,0.00406,0.00406
62,2592.78,1.15941,0.7888,0.00933,0.8594,0.88025,0.91891,0.6123,1.29065,0.73388,0.01498,0.003961,0.003961,0.003961
63,2634.35,1.15074,0.79504,0.00931,0.86973,0.8602,0.91571,0.61644,1.27289,0.75994,0.01463,0.003862,0.003862,0.003862
64,2676.17,1.14417,0.77152,0.0093,0.8866,0.85583,0.92342,0.61147,1.29675,0.74574,0.01505,0.003763,0.003763,0.003763
65,2717.83,1.15559,0.78315,0.00932,0.88133,0.87295,0.91952,0.61328,1.29169,0.71029,0.01493,0.003664,0.003664,0.003664
