epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
44,1842.82,1.24592,0.90271,0.00995,0.81524,0.76241,0.84311,0.52598,1.3494,0.83663,0.01575,0.005743,0.005743,0.005743
45,1884.53,1.22476,0.87971,0.00982,0.783,0.79193,0.8549,0.53723,1.34168,0.87512,0.0155,0.005644,0.005644,0.005644
46,1926.33,1.23252,0.90045,0.01,0.78574,0.81533,0.85094,0.53645,1.35317,0.85218,0.01577,0.005545,0.005545,0.005545
47,1968.13,1.23104,0.87585,0.01006,0.79473,0.81584,0.86023,0.5438,1.35519,0.81444,0.01579,0.005446,0.005446,0.005446
48,2010.08,1.20526,0.86114,0.00986,0.78223,0.80694,0.85859,0.54217,1.34114,0.80264,0.01548,0.005347,0.005347,0.005347
49,2051.86,1.21483,0.87008,0.00979,0.82767,0.83449,0.87852,0.55724,1.31254,0.77921,0.01506,0.005248,0.005248,0.005248
50,2093.57,1.2179,0.84815,0.00998,0.79314,0.82344,0.85572,0.53724,1.35613,0.8117,0.01564,0.005149,0.005149,0.005149
51,2135.26,1.20537,0.8384,0.00954,0.84475,0.79889,0.87278,0.55342,1.31972,0.80148,0.0152,0.00505,0.00505,0.00505
52,2176.96,1.19371,0.8558,0.00967,0.8504,0.79763,0.87024,0.54543,1.34859,0.78217,0.01562,0.004951,0.004951,0.004951
53,2218.74,1.18838,0.83674,0.00941,0.82414,0.82096,0.87038,0.54829,1.33202,0.78981,0.01545,0.004852,0.004852,0.004852
54,2260.44,1.18853,0.85744,0.00965,0.83993,0.82099,0.87259,0.54144,1.35191,0.78944,0.01553,0.004753,0.004753,0.004753
55,2302.08,1.17963,0.85142,0.00952,0.7964,0.80115,0.85497,0.54068,1.32243,0.83059,0.01511,0.004654,0.004654,0.004654
56,2343.87,1.18752,0.82943,0.00971,0.83828,0.84843,0.87837,0.55729,1.31883,0.76617,0.01514,0.004555,0.004555,0.004555
57,2385.67,1.19411,0.83784,0.00965,0.83077,0.84177,0.89049,0.57214,1.33232,0.76327,0.01531,0.004456,0.004456,0.004456
58,2427.56,1.17341,0.8214,0.00945,0.81634,0.84848,0.89081,0.55979,1.32571,0.77667,0.01516,0.004357,0.004357,0.004357
59,2469.25,1.19704,0.80835,0.00972,0.82278,0.82942,0.88217,0.56266,1.32742,0.87109,0.01529,0.004258,0.004258,0.004258
60,2510.91,1.16186,0.77819,0.00952,0.8472,0.82075,0.88044,0.55748,1.32444,0.75502,0.01513,0.004159,0.004159,0.004159
61,2552.61,1.13553,0.75111,0.00905,0.86281,0.84658,0.902,0.57505,1.33448,0.73095,0.01514,0.00406,0.00406,0.00406
62,2594.4,1.15662,0.77665,0.00931,0.85626,0.85323,0.91208,0.57352,1.34118,0.76107,0.01528,0.003961,0.003961,0.003961
63,2636.13,1.1405,0.79912,0.00922,0.85577,0.82367,0.89721,0.57216,1.31228,0.75372,0.01495,0.003862,0.003862,0.003862
64,2677.86,1.14999,0.76562,0.00924,0.84841,0.8473,0.89743,0.57257,1.30154,0.73482,0.01463,0.003763,0.003763,0.003763
65,2719.55,1.14366,0.76781,0.00914,0.8594,0.86087,0.89739,0.57366,1.28509,0.7013,0.01463,0.003664,0.003664,0.003664
66,2761.25,1.13264,0.74763,0.00918,0.855,0.87582,0.911,0.57933,1.30203,0.70574,0.01473,0.003565,0.003565,0.003565
67,2803.06,1.14089,0.74872,0.00904,0.84092,0.8573,0.89412,0.56951,1.29754,0.72816,0.01481,0.003466,0.003466,0.003466
68,2844.76,1.13546,0.74696,0.009,0.86037,0.83035,0.88727,0.56829,1.3058,0.70506,0.01474,0.003367,0.003367,0.003367
69,2886.4,1.12154,0.73631,0.00903,0.82717,0.86218,0.89914,0.57116,1.30586,0.71286,0.01491,0.003268,0.003268,0.003268
70,2928.15,1.11419,0.72678,0.00889,0.8656,0.85957,0.91516,0.57682,1.29693,0.69322,0.01477,0.003169,0.003169,0.003169
71,2969.8,1.094,0.71062,0.00861,0.84916,0.85619,0.90923,0.57916,1.30316,0.69101,0.01492,0.00307,0.00307,0.00307
72,3011.49,1.10435,0.72693,0.00887,0.85902,0.86639,0.90806,0.57809,1.30721,0.68272,0.01484,0.002971,0.002971,0.002971
73,3053.22,1.11077,0.70937,0.00878,0.86105,0.86135,0.90933,0.57708,1.29273,0.70142,0.01468,0.002872,0.002872,0.002872
74,3094.88,1.09934,0.70663,0.00874,0.84366,0.87208,0.90562,0.57736,1.2889,0.66211,0.01459,0.002773,0.002773,0.002773
75,3136.49,1.08654,0.69888,0.00851,0.85571,0.86194,0.90106,0.57897,1.28098,0.68992,0.01456,0.002674,0.002674,0.002674
76,3178.23,1.10267,0.69074,0.00875,0.86352,0.87603,0.90239,0.57703,1.30505,0.69512,0.01474,0.002575,0.002575,0.002575
77,3219.88,1.0916,0.69537,0.00864,0.88344,0.86851,0.91263,0.58504,1.30916,0.66021,0.01488,0.002476,0.002476,0.002476
78,3261.66,1.08675,0.68427,0.00861,0.85851,0.8808,0.91078,0.58127,1.29645,0.68202,0.01466,0.002377,0.002377,0.002377
79,3303.36,1.07909,0.68701,0.0086,0.84267,0.8638,0.90664,0.57923,1.29603,0.68567,0.01469,0.002278,0.002278,0.002278
80,3345.12,1.05815,0.68526,0.00834,0.86551,0.88497,0.91605,0.59215,1.29553,0.6676,0.01462,0.002179,0.002179,0.002179
81,3387.02,1.08434,0.68638,0.00856,0.85461,0.88147,0.9154,0.57896,1.31665,0.68438,0.01495,0.00208,0.00208,0.00208
82,3428.84,1.05897,0.67717,0.00825,0.85035,0.8864,0.9073,0.58139,1.28914,0.66764,0.01465,0.001981,0.001981,0.001981
83,3470.59,1.07076,0.68752,0.00842,0.86401,0.88715,0.91439,0.58452,1.29571,0.65004,0.01464,0.001882,0.001882,0.001882
84,3512.35,1.04496,0.65958,0.00824,0.88835,0.87471,0.92435,0.59085,1.29512,0.65166,0.01461,0.001783,0.001783,0.001783
85,3554.06,1.06382,0.66294,0.00829,0.85098,0.88141,0.91322,0.58531,1.29374,0.65918,0.01467,0.001684,0.001684,0.001684
86,3595.8,1.04591,0.6378,0.00824,0.86484,0.87915,0.91114,0.5827,1.2916,0.65854,0.01456,0.001585,0.001585,0.001585
87,3637.63,1.05287,0.65453,0.0083,0.86186,0.85483,0.91058,0.5845,1.29299,0.65911,0.01461,0.001486,0.001486,0.001486
