epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2116,1.19175,1.04955,1.32603,0.74752,0.69049,0.7849,0.48627,1.29165,1.14031,1.59748,0.005743,0.005743,0.005743
45,2163.12,1.18849,1.02355,1.32553,0.75737,0.7262,0.7996,0.50072,1.29461,1.09275,1.55826,0.005644,0.005644,0.005644
46,2210.38,1.18108,1.02469,1.32386,0.7215,0.7457,0.78837,0.50126,1.27021,1.11582,1.5483,0.005545,0.005545,0.005545
47,2257.7,1.16847,1.01731,1.31681,0.73612,0.70435,0.78014,0.48922,1.276,1.1187,1.53618,0.005446,0.005446,0.005446
48,2304.91,1.16814,0.99769,1.31952,0.74916,0.71963,0.78207,0.49067,1.30468,1.10336,1.56598,0.005347,0.005347,0.005347
49,2352.1,1.1733,1.00916,1.31919,0.74953,0.73759,0.80215,0.50304,1.27232,1.08523,1.55296,0.005248,0.005248,0.005248
50,2399.42,1.16849,0.98817,1.31847,0.75648,0.75726,0.80117,0.50483,1.27231,1.05652,1.55094,0.005149,0.005149,0.005149
51,2446.73,1.16482,0.99845,1.30422,0.73074,0.73971,0.80234,0.50717,1.26248,1.10582,1.53396,0.00505,0.00505,0.00505
52,2494.02,1.15532,0.96974,1.30751,0.71443,0.74821,0.78141,0.49874,1.26125,1.15997,1.5297,0.004951,0.004951,0.004951
53,2541.26,1.1558,0.97761,1.2961,0.78048,0.73597,0.80753,0.51301,1.27311,1.04628,1.54787,0.004852,0.004852,0.004852
54,2588.51,1.15482,0.97411,1.30536,0.79255,0.74545,0.82837,0.52728,1.28017,1.00571,1.52895,0.004753,0.004753,0.004753
55,2635.77,1.14481,0.96658,1.29759,0.78072,0.71456,0.80672,0.51395,1.26064,1.07386,1.54934,0.004654,0.004654,0.004654
56,2682.92,1.13796,0.94892,1.30313,0.78029,0.76503,0.82631,0.52861,1.2739,1.01096,1.54247,0.004555,0.004555,0.004555
57,2730.18,1.14774,0.95824,1.30059,0.74756,0.76782,0.8329,0.52446,1.27953,1.00418,1.54021,0.004456,0.004456,0.004456
58,2777.28,1.1333,0.93289,1.29424,0.75822,0.77522,0.83363,0.52929,1.23315,1.03972,1.52302,0.004357,0.004357,0.004357
59,2824.48,1.13898,0.93606,1.29943,0.73721,0.78224,0.81217,0.50984,1.2755,1.00029,1.55392,0.004258,0.004258,0.004258
60,2871.65,1.12594,0.91156,1.29164,0.7855,0.74568,0.82646,0.52005,1.27283,0.99957,1.53651,0.004159,0.004159,0.004159
61,2918.76,1.1158,0.89629,1.27384,0.78547,0.74691,0.82567,0.52807,1.24899,0.96918,1.53476,0.00406,0.00406,0.00406
62,2965.82,1.11721,0.90721,1.28539,0.78082,0.77109,0.83144,0.53145,1.26062,1.01631,1.52481,0.003961,0.003961,0.003961
63,3012.96,1.11068,0.8996,1.2751,0.7834,0.79811,0.84666,0.5353,1.26165,0.9457,1.53613,0.003862,0.003862,0.003862
64,3060.19,1.10836,0.87683,1.27619,0.78483,0.78342,0.844,0.52941,1.2678,0.94534,1.53587,0.003763,0.003763,0.003763
65,3107.2,1.11671,0.89207,1.28275,0.78128,0.72812,0.82473,0.51067,1.28168,1.00024,1.57167,0.003664,0.003664,0.003664
66,3154.28,1.11861,0.88869,1.28537,0.80714,0.78436,0.85014,0.53896,1.24808,0.93793,1.51355,0.003565,0.003565,0.003565
67,3201.5,1.10464,0.88213,1.26741,0.80171,0.81527,0.86682,0.55816,1.23834,0.93659,1.5111,0.003466,0.003466,0.003466
68,3248.79,1.0953,0.85919,1.26077,0.79421,0.81154,0.85866,0.55432,1.24295,0.91031,1.50878,0.003367,0.003367,0.003367
69,3295.9,1.10073,0.86217,1.26478,0.75426,0.81129,0.85251,0.54353,1.26236,0.94873,1.52193,0.003268,0.003268,0.003268
70,3342.96,1.08811,0.84125,1.25672,0.82007,0.79304,0.86506,0.55074,1.24807,0.88667,1.51784,0.003169,0.003169,0.003169
71,3390.05,1.07199,0.82848,1.24696,0.7867,0.80225,0.86595,0.55693,1.26552,0.90604,1.53991,0.00307,0.00307,0.00307
72,3437.19,1.07442,0.83815,1.25669,0.79002,0.79802,0.85425,0.54434,1.25439,0.90949,1.53323,0.002971,0.002971,0.002971
73,3484.31,1.08306,0.84413,1.25333,0.82522,0.78936,0.87231,0.5614,1.24454,0.92321,1.51886,0.002872,0.002872,0.002872
74,3531.51,1.0731,0.82853,1.2479,0.80163,0.80388,0.87219,0.55616,1.25605,0.88195,1.52233,0.002773,0.002773,0.002773
75,3578.68,1.06673,0.81732,1.24693,0.79799,0.81541,0.87234,0.55869,1.25496,0.88126,1.51558,0.002674,0.002674,0.002674
76,3625.79,1.07249,0.8174,1.24706,0.83583,0.79789,0.86047,0.56006,1.2355,0.88225,1.4995,0.002575,0.002575,0.002575
77,3672.95,1.06499,0.82255,1.24145,0.80286,0.8109,0.85532,0.55091,1.25782,0.8918,1.50781,0.002476,0.002476,0.002476
78,3720.09,1.06224,0.79858,1.2425,0.83579,0.79258,0.87279,0.55908,1.25463,0.88628,1.54132,0.002377,0.002377,0.002377
79,3767.2,1.05792,0.80567,1.24041,0.83202,0.8187,0.87418,0.5628,1.23448,0.85478,1.50977,0.002278,0.002278,0.002278
80,3814.45,1.04542,0.79915,1.23311,0.82485,0.80854,0.85881,0.55874,1.25112,0.87652,1.51962,0.002179,0.002179,0.002179
81,3861.54,1.05708,0.79917,1.24028,0.82215,0.79558,0.8677,0.56097,1.23901,0.88257,1.49938,0.00208,0.00208,0.00208
82,3908.65,1.05098,0.78542,1.22683,0.79419,0.81948,0.85588,0.5551,1.25658,0.86772,1.51387,0.001981,0.001981,0.001981
83,3955.76,1.0487,0.79612,1.23347,0.80926,0.82251,0.87304,0.56485,1.22682,0.8534,1.49521,0.001882,0.001882,0.001882
84,4002.98,1.03849,0.77391,1.22522,0.81747,0.80642,0.87095,0.55764,1.23272,0.86997,1.51123,0.001783,0.001783,0.001783
85,4050.06,1.04351,0.7786,1.2285,0.81357,0.83188,0.87244,0.56111,1.23407,0.83777,1.50997,0.001684,0.001684,0.001684
86,4097.17,1.03691,0.75002,1.22383,0.80664,0.81305,0.87062,0.55891,1.27291,0.87568,1.52874,0.001585,0.001585,0.001585
87,4144.31,1.03945,0.77158,1.22654,0.83516,0.79509,0.87647,0.56932,1.24992,0.85326,1.51492,0.001486,0.001486,0.001486
88,4191.59,1.02845,0.76439,1.22774,0.82722,0.81946,0.87312,0.56187,1.2466,0.84743,1.50507,0.001387,0.001387,0.001387
89,4238.72,1.02281,0.74694,1.20992,0.80485,0.84065,0.87992,0.5657,1.25641,0.81745,1.51658,0.001288,0.001288,0.001288
90,4285.83,1.01662,0.74407,1.2054,0.8157,0.81871,0.8751,0.56535,1.24493,0.8427,1.51736,0.001189,0.001189,0.001189
91,4334.2,0.95954,0.61549,1.22365,0.80498,0.83289,0.88539,0.57383,1.24915,0.82823,1.51139,0.00109,0.00109,0.00109
92,4381.34,0.95283,0.60078,1.21855,0.81344,0.84078,0.88743,0.5729,1.24364,0.82816,1.50482,0.000991,0.000991,0.000991
93,4428.33,0.94217,0.58884,1.21081,0.83299,0.83006,0.88553,0.58232,1.23907,0.8109,1.51932,0.000892,0.000892,0.000892
94,4475.54,0.93579,0.57992,1.2072,0.83199,0.83703,0.87427,0.57224,1.22911,0.81098,1.49734,0.000793,0.000793,0.000793
95,4522.57,0.92175,0.57792,1.19987,0.85233,0.814,0.88716,0.57517,1.24628,0.81831,1.50493,0.000694,0.000694,0.000694
96,4569.67,0.92579,0.56751,1.20727,0.84067,0.83686,0.8923,0.58086,1.23613,0.7997,1.50843,0.000595,0.000595,0.000595
97,4616.66,0.91781,0.56266,1.19687,0.83381,0.83618,0.89076,0.58244,1.24786,0.80263,1.51217,0.000496,0.000496,0.000496
98,4663.75,0.91192,0.56312,1.18753,0.85686,0.82357,0.89403,0.58715,1.24737,0.79231,1.506,0.000397,0.000397,0.000397
99,4710.86,0.90483,0.5554,1.19343,0.83568,0.84669,0.89573,0.58694,1.24965,0.79234,1.51277,0.000298,0.000298,0.000298
100,4757.9,0.90819,0.55287,1.19152,0.82319,0.85547,0.89658,0.58476,1.25134,0.78518,1.51105,0.000199,0.000199,0.000199
