epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1548.67,1.16698,0.95837,1.23139,0.78629,0.80581,0.86942,0.5804,1.23647,1.01371,1.37659,0.005743,0.005743,0.005743
45,1582.99,1.14459,0.92937,1.21754,0.80978,0.79989,0.86495,0.56811,1.24819,0.99568,1.37507,0.005644,0.005644,0.005644
46,1617.3,1.16214,0.95981,1.22633,0.78644,0.79115,0.84761,0.56134,1.21426,1.03801,1.35803,0.005545,0.005545,0.005545
47,1651.53,1.12974,0.9176,1.20561,0.76921,0.80634,0.86356,0.5725,1.23772,0.99446,1.35878,0.005446,0.005446,0.005446
48,1685.73,1.13258,0.91614,1.21529,0.7911,0.82372,0.88233,0.58144,1.21782,0.9658,1.37571,0.005347,0.005347,0.005347
49,1720.06,1.14009,0.93204,1.22166,0.78399,0.8286,0.88208,0.58973,1.21003,0.98173,1.35947,0.005248,0.005248,0.005248
50,1754.47,1.12327,0.88752,1.20657,0.79009,0.83243,0.88105,0.59242,1.23958,0.94473,1.36877,0.005149,0.005149,0.005149
51,1788.81,1.12533,0.89543,1.2075,0.79116,0.82149,0.86388,0.57766,1.2378,0.96397,1.37094,0.00505,0.00505,0.00505
52,1823.05,1.12638,0.89599,1.21206,0.79676,0.8345,0.8834,0.58231,1.27276,0.92841,1.38738,0.004951,0.004951,0.004951
53,1857.3,1.13573,0.9035,1.20836,0.79169,0.82007,0.88202,0.59106,1.21079,0.9341,1.35209,0.004852,0.004852,0.004852
54,1891.58,1.12638,0.89916,1.20747,0.82142,0.83755,0.8914,0.59636,1.21196,0.90451,1.35477,0.004753,0.004753,0.004753
55,1925.9,1.10606,0.87248,1.19451,0.80807,0.80453,0.8801,0.58131,1.24099,0.94991,1.37942,0.004654,0.004654,0.004654
56,1960.1,1.1019,0.87266,1.19611,0.82366,0.85633,0.90478,0.60723,1.19407,0.88087,1.34076,0.004555,0.004555,0.004555
57,1994.43,1.11003,0.86355,1.20454,0.8053,0.84446,0.88703,0.58377,1.23262,0.90947,1.37101,0.004456,0.004456,0.004456
58,2028.81,1.09467,0.84994,1.19325,0.8007,0.85511,0.89387,0.59858,1.20348,0.88457,1.33421,0.004357,0.004357,0.004357
59,2063.1,1.10427,0.85077,1.19131,0.8223,0.85324,0.90109,0.59586,1.22546,0.88429,1.34569,0.004258,0.004258,0.004258
60,2097.35,1.09109,0.84102,1.19401,0.82323,0.85451,0.90659,0.60753,1.21799,0.87035,1.34845,0.004159,0.004159,0.004159
61,2131.69,1.09096,0.82466,1.18597,0.81886,0.85711,0.89515,0.60099,1.23227,0.84796,1.34815,0.00406,0.00406,0.00406
62,2165.88,1.0822,0.82654,1.18001,0.83592,0.83341,0.88822,0.5968,1.20844,0.90394,1.34649,0.003961,0.003961,0.003961
63,2200.1,1.06931,0.82818,1.17499,0.82613,0.86474,0.9023,0.61055,1.20363,0.8536,1.34996,0.003862,0.003862,0.003862
64,2234.46,1.07324,0.80763,1.18121,0.84197,0.86191,0.90822,0.61156,1.21977,0.83708,1.34086,0.003763,0.003763,0.003763
65,2268.76,1.07901,0.81524,1.17741,0.82391,0.83972,0.89873,0.59901,1.2122,0.8406,1.35122,0.003664,0.003664,0.003664
66,2303.01,1.07815,0.80597,1.18327,0.82204,0.8544,0.89913,0.59723,1.23379,0.86032,1.36226,0.003565,0.003565,0.003565
67,2337.22,1.07482,0.80496,1.16894,0.84319,0.86666,0.90635,0.60697,1.2198,0.8513,1.34834,0.003466,0.003466,0.003466
68,2371.55,1.06933,0.81385,1.17286,0.84518,0.86193,0.9124,0.59662,1.21573,0.82535,1.34372,0.003367,0.003367,0.003367
69,2405.76,1.065,0.80295,1.17459,0.86584,0.85496,0.90697,0.612,1.214,0.83344,1.34487,0.003268,0.003268,0.003268
70,2440.16,1.04855,0.77913,1.16674,0.83558,0.86977,0.90642,0.60839,1.20522,0.82118,1.33564,0.003169,0.003169,0.003169
71,2474.42,1.04879,0.76836,1.16295,0.85479,0.87161,0.92429,0.61055,1.22379,0.80903,1.35251,0.00307,0.00307,0.00307
72,2508.68,1.04919,0.7724,1.1673,0.85106,0.87907,0.92128,0.62001,1.20411,0.80207,1.33023,0.002971,0.002971,0.002971
73,2542.99,1.05703,0.78115,1.16308,0.86041,0.87941,0.92138,0.62728,1.18612,0.81621,1.32757,0.002872,0.002872,0.002872
74,2577.31,1.04501,0.75809,1.15632,0.85299,0.87772,0.90845,0.61952,1.20412,0.81582,1.33905,0.002773,0.002773,0.002773
75,2611.48,1.039,0.75259,1.15142,0.86612,0.87207,0.92128,0.61941,1.21893,0.81521,1.33185,0.002674,0.002674,0.002674
76,2645.74,1.02758,0.74353,1.14283,0.8523,0.88012,0.91828,0.61883,1.19581,0.7855,1.33755,0.002575,0.002575,0.002575
77,2680.02,1.02514,0.74508,1.14628,0.84007,0.87092,0.91386,0.61491,1.20939,0.80188,1.33425,0.002476,0.002476,0.002476
