epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2113.87,1.11934,0.90005,1.31085,0.74918,0.81202,0.83976,0.53811,1.21892,0.97071,1.56359,0.005743,0.005743,0.005743
45,2160.67,1.11488,0.87513,1.3061,0.75402,0.8478,0.86415,0.55555,1.21489,0.95216,1.54505,0.005644,0.005644,0.005644
46,2207.77,1.11901,0.8813,1.31426,0.79499,0.80587,0.84974,0.54827,1.22817,0.9427,1.54379,0.005545,0.005545,0.005545
47,2254.81,1.11318,0.86799,1.30974,0.77451,0.83027,0.87166,0.55614,1.23211,0.9368,1.53033,0.005446,0.005446,0.005446
48,2301.96,1.10243,0.86713,1.30791,0.79199,0.79401,0.86028,0.54778,1.22943,0.97004,1.55719,0.005347,0.005347,0.005347
49,2348.83,1.10092,0.86316,1.30188,0.80233,0.83103,0.86177,0.54699,1.21946,0.89291,1.54865,0.005248,0.005248,0.005248
50,2395.71,1.10609,0.85244,1.30798,0.7917,0.82154,0.87057,0.55228,1.2162,0.89683,1.54732,0.005149,0.005149,0.005149
51,2442.6,1.08789,0.84184,1.28597,0.79887,0.82661,0.87566,0.55849,1.20603,0.91301,1.52469,0.00505,0.00505,0.00505
52,2489.6,1.08597,0.84521,1.28999,0.84462,0.80779,0.88129,0.56167,1.22086,0.88845,1.53189,0.004951,0.004951,0.004951
53,2536.64,1.07781,0.84339,1.28005,0.76841,0.84031,0.85094,0.54965,1.21952,0.92793,1.53432,0.004852,0.004852,0.004852
54,2583.56,1.08711,0.83182,1.29242,0.83182,0.82967,0.87945,0.57268,1.21484,0.8682,1.51199,0.004753,0.004753,0.004753
55,2630.58,1.07032,0.81776,1.27951,0.82962,0.82727,0.86893,0.55521,1.2076,0.88508,1.52808,0.004654,0.004654,0.004654
56,2677.55,1.07013,0.81663,1.29015,0.81277,0.84889,0.88476,0.56977,1.23412,0.86528,1.51887,0.004555,0.004555,0.004555
57,2724.37,1.07503,0.82952,1.28155,0.81666,0.78828,0.85301,0.55766,1.21213,0.92762,1.54422,0.004456,0.004456,0.004456
58,2771.28,1.06452,0.80692,1.28025,0.81493,0.80171,0.87183,0.56685,1.20295,0.89171,1.52485,0.004357,0.004357,0.004357
59,2818.15,1.0659,0.80983,1.28226,0.77734,0.82325,0.86788,0.55963,1.2161,0.91624,1.56271,0.004258,0.004258,0.004258
60,2864.94,1.05593,0.77725,1.28098,0.80566,0.83224,0.87451,0.56401,1.22962,0.83913,1.53359,0.004159,0.004159,0.004159
61,2911.89,1.05183,0.76766,1.26489,0.83801,0.84959,0.88291,0.57316,1.21217,0.83405,1.53035,0.00406,0.00406,0.00406
62,2958.86,1.05632,0.78406,1.27818,0.83115,0.83335,0.87793,0.57042,1.20392,0.86129,1.52949,0.003961,0.003961,0.003961
63,3005.69,1.04805,0.77804,1.2687,0.81543,0.84901,0.89491,0.58322,1.19526,0.81798,1.51843,0.003862,0.003862,0.003862
64,3052.78,1.0464,0.76114,1.26474,0.83509,0.83528,0.89873,0.57089,1.21919,0.82429,1.52858,0.003763,0.003763,0.003763
65,3099.7,1.04804,0.76385,1.26851,0.83187,0.84776,0.89726,0.58124,1.21069,0.81405,1.53351,0.003664,0.003664,0.003664
66,3146.61,1.04299,0.7639,1.26843,0.83584,0.83333,0.88648,0.57497,1.22204,0.83148,1.54171,0.003565,0.003565,0.003565
67,3193.57,1.03627,0.76076,1.25757,0.85269,0.84375,0.88724,0.57349,1.20704,0.82873,1.52235,0.003466,0.003466,0.003466
68,3240.64,1.0328,0.7447,1.25122,0.8104,0.85929,0.89164,0.57975,1.21535,0.81381,1.53297,0.003367,0.003367,0.003367
69,3287.53,1.0303,0.74829,1.25019,0.83044,0.84979,0.89695,0.58061,1.22607,0.81512,1.54593,0.003268,0.003268,0.003268
70,3334.55,1.01964,0.73514,1.24406,0.84412,0.85989,0.89809,0.58257,1.19805,0.82051,1.51944,0.003169,0.003169,0.003169
71,3381.49,1.00099,0.7099,1.23334,0.85601,0.84123,0.91303,0.59305,1.2102,0.80083,1.52337,0.00307,0.00307,0.00307
72,3428.55,1.00921,0.72458,1.24506,0.86899,0.85675,0.91015,0.59327,1.20921,0.77906,1.53144,0.002971,0.002971,0.002971
73,3475.51,1.01162,0.72302,1.24155,0.86802,0.85496,0.90837,0.59095,1.22033,0.78429,1.53434,0.002872,0.002872,0.002872
74,3522.54,1.0022,0.69983,1.23219,0.85788,0.87997,0.9193,0.59461,1.22854,0.76931,1.54029,0.002773,0.002773,0.002773
75,3569.56,0.99776,0.69668,1.22738,0.87581,0.86569,0.91637,0.59348,1.22001,0.77176,1.52688,0.002674,0.002674,0.002674
76,3616.65,1.00284,0.69504,1.2345,0.86406,0.85991,0.91001,0.5828,1.22945,0.77577,1.533,0.002575,0.002575,0.002575
77,3663.5,0.99419,0.6997,1.22852,0.88439,0.8459,0.90441,0.58421,1.22242,0.79154,1.53354,0.002476,0.002476,0.002476
78,3710.35,0.99247,0.68969,1.22713,0.8681,0.86759,0.91804,0.59726,1.20383,0.75221,1.52294,0.002377,0.002377,0.002377
79,3757.36,0.98922,0.69192,1.22583,0.89534,0.86003,0.92275,0.5994,1.20506,0.74687,1.5245,0.002278,0.002278,0.002278
80,3804.46,0.97858,0.68453,1.21903,0.87807,0.86232,0.91487,0.58627,1.23893,0.76058,1.52357,0.002179,0.002179,0.002179
81,3851.36,0.99131,0.68425,1.22467,0.85634,0.85761,0.90509,0.58962,1.21207,0.7702,1.52133,0.00208,0.00208,0.00208
82,3898.26,0.98185,0.67089,1.21339,0.88144,0.86335,0.91019,0.59257,1.21493,0.7515,1.52651,0.001981,0.001981,0.001981
83,3945.08,0.9838,0.68888,1.22313,0.85695,0.8769,0.90673,0.59028,1.19889,0.76007,1.51662,0.001882,0.001882,0.001882
84,3991.97,0.96432,0.6581,1.20734,0.87839,0.87443,0.9135,0.5899,1.23322,0.75064,1.53876,0.001783,0.001783,0.001783
85,4038.8,0.97026,0.662,1.21233,0.88378,0.86569,0.9154,0.5947,1.20791,0.74063,1.51911,0.001684,0.001684,0.001684
86,4085.65,0.96095,0.64968,1.20615,0.86675,0.88174,0.91356,0.58957,1.22839,0.73436,1.53366,0.001585,0.001585,0.001585
87,4132.51,0.96747,0.65924,1.21185,0.88376,0.87074,0.9086,0.58508,1.23759,0.73506,1.5387,0.001486,0.001486,0.001486
88,4179.46,0.9605,0.64601,1.21381,0.87278,0.87968,0.91834,0.59282,1.2315,0.72517,1.53748,0.001387,0.001387,0.001387
89,4226.34,0.9549,0.63308,1.19887,0.89533,0.87077,0.92356,0.60196,1.22965,0.7259,1.53471,0.001288,0.001288,0.001288
90,4273.27,0.94804,0.6324,1.18901,0.89532,0.85322,0.91759,0.59362,1.22402,0.73821,1.53966,0.001189,0.001189,0.001189
91,4321.97,0.88108,0.51474,1.20239,0.88187,0.8686,0.91352,0.59451,1.2422,0.72852,1.56126,0.00109,0.00109,0.00109
92,4368.88,0.86923,0.50248,1.19885,0.8637,0.89348,0.92134,0.60157,1.22888,0.71706,1.53771,0.000991,0.000991,0.000991
93,4415.74,0.8673,0.48891,1.19084,0.88139,0.8718,0.92059,0.59849,1.24263,0.71119,1.56824,0.000892,0.000892,0.000892
94,4462.68,0.85287,0.48116,1.18492,0.88,0.87027,0.92004,0.59367,1.23972,0.71251,1.55357,0.000793,0.000793,0.000793
95,4509.44,0.84744,0.47781,1.18342,0.88425,0.86853,0.92359,0.59772,1.25553,0.70994,1.56236,0.000694,0.000694,0.000694
96,4556.39,0.84623,0.47335,1.18697,0.89079,0.87158,0.92059,0.59478,1.24802,0.70602,1.56757,0.000595,0.000595,0.000595
97,4603.16,0.83588,0.47259,1.17709,0.87161,0.88299,0.91828,0.59135,1.25358,0.70523,1.57049,0.000496,0.000496,0.000496
98,4649.88,0.83831,0.47322,1.17083,0.87229,0.88642,0.92244,0.59565,1.2494,0.70306,1.56142,0.000397,0.000397,0.000397
99,4696.8,0.83502,0.46544,1.17868,0.88062,0.88246,0.922,0.5972,1.25191,0.69855,1.56826,0.000298,0.000298,0.000298
100,4743.65,0.8315,0.46137,1.17018,0.86947,0.89148,0.92266,0.5986,1.25058,0.69399,1.56956,0.000199,0.000199,0.000199
