epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
40,5344.15,0.32868,0.40185,0.1486,0.92537,0.93865,0.94876,0.62765,0.39285,0.42966,0.25498,6.139e-05,6.139e-05,6.139e-05
41,5477.35,0.32612,0.39955,0.14356,0.93136,0.94133,0.95357,0.6236,0.39294,0.43152,0.25177,6.04e-05,6.04e-05,6.04e-05
42,5610.39,0.32796,0.39456,0.145,0.9387,0.94445,0.95627,0.62671,0.3941,0.42757,0.25526,5.941e-05,5.941e-05,5.941e-05
43,5743.57,0.32228,0.39689,0.14519,0.9287,0.94196,0.9523,0.62587,0.39628,0.44024,0.25404,5.842e-05,5.842e-05,5.842e-05
44,5876.86,0.32816,0.39778,0.1463,0.93324,0.94167,0.95401,0.63606,0.39774,0.43246,0.25743,5.743e-05,5.743e-05,5.743e-05
45,6010.3,0.31586,0.39129,0.14207,0.92639,0.95035,0.9565,0.62548,0.39773,0.43573,0.25443,5.644e-05,5.644e-05,5.644e-05
46,6143.33,0.32129,0.39112,0.14359,0.92459,0.94732,0.95363,0.62816,0.39963,0.42774,0.26174,5.545e-05,5.545e-05,5.545e-05
47,6276.55,0.31193,0.38036,0.14053,0.94113,0.94787,0.95542,0.62443,0.40342,0.42772,0.26318,5.446e-05,5.446e-05,5.446e-05
48,6409.7,0.30968,0.38442,0.1411,0.92778,0.94629,0.95534,0.625,0.40096,0.42493,0.26009,5.347e-05,5.347e-05,5.347e-05
49,6542.76,0.31384,0.38544,0.14116,0.9282,0.94777,0.95695,0.63466,0.40035,0.42835,0.25555,5.248e-05,5.248e-05,5.248e-05
50,6675.66,0.30703,0.38101,0.13864,0.93242,0.94066,0.94647,0.6243,0.40309,0.42527,0.26217,5.149e-05,5.149e-05,5.149e-05
51,6808.69,0.30844,0.38333,0.13884,0.92384,0.95591,0.95894,0.62847,0.39798,0.42717,0.25885,5.05e-05,5.05e-05,5.05e-05
52,6941.76,0.3103,0.37805,0.1423,0.93026,0.94181,0.95202,0.63192,0.39544,0.42768,0.25925,4.951e-05,4.951e-05,4.951e-05
53,7074.77,0.31385,0.38233,0.13931,0.92938,0.94339,0.95313,0.62162,0.40879,0.43206,0.26211,4.852e-05,4.852e-05,4.852e-05
54,7207.89,0.30768,0.37937,0.13679,0.93672,0.94957,0.95871,0.62355,0.40266,0.4311,0.25975,4.753e-05,4.753e-05,4.753e-05
55,7340.83,0.3033,0.3776,0.13564,0.9369,0.95052,0.95733,0.63196,0.39453,0.42874,0.25687,4.654e-05,4.654e-05,4.654e-05
56,7473.8,0.30349,0.37406,0.13607,0.93903,0.94672,0.95624,0.62687,0.3968,0.42951,0.25558,4.555e-05,4.555e-05,4.555e-05
57,7606.7,0.30093,0.37102,0.13653,0.93773,0.94483,0.95477,0.62327,0.40067,0.42523,0.26106,4.456e-05,4.456e-05,4.456e-05
58,7739.7,0.29507,0.36685,0.13277,0.92944,0.9404,0.94813,0.61847,0.40377,0.42566,0.25955,4.357e-05,4.357e-05,4.357e-05
59,7872.79,0.29819,0.37127,0.13519,0.93468,0.9368,0.94811,0.63026,0.39833,0.43123,0.25908,4.258e-05,4.258e-05,4.258e-05
