epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2030.9,1.12218,0.92886,1.35669,0.8054,0.84218,0.88841,0.58939,1.19222,0.94632,1.55116,0.005743,0.005743,0.005743
45,2076.26,1.11652,0.89926,1.35046,0.79836,0.84627,0.89334,0.59476,1.1947,0.92245,1.55209,0.005644,0.005644,0.005644
46,2121.67,1.12129,0.90801,1.34775,0.81857,0.84449,0.88484,0.58878,1.20545,0.93583,1.57369,0.005545,0.005545,0.005545
47,2166.99,1.10417,0.88583,1.34115,0.79233,0.84326,0.89632,0.60054,1.18634,0.92371,1.53935,0.005446,0.005446,0.005446
48,2212.53,1.09293,0.87532,1.3363,0.80027,0.82343,0.88423,0.59346,1.18141,0.95982,1.56075,0.005347,0.005347,0.005347
49,2257.91,1.10647,0.89866,1.34662,0.82047,0.86192,0.90631,0.59955,1.19249,0.89676,1.54214,0.005248,0.005248,0.005248
50,2303.33,1.10648,0.87469,1.33703,0.80219,0.83517,0.89278,0.5973,1.20547,0.91416,1.55598,0.005149,0.005149,0.005149
51,2348.78,1.1017,0.86744,1.33711,0.81147,0.8481,0.89849,0.60587,1.19397,0.88303,1.54694,0.00505,0.00505,0.00505
52,2394.25,1.09282,0.86163,1.33649,0.82225,0.86282,0.90824,0.6046,1.21246,0.88163,1.56171,0.004951,0.004951,0.004951
53,2439.6,1.10317,0.87473,1.33218,0.82997,0.86588,0.91008,0.6138,1.18748,0.90831,1.54679,0.004852,0.004852,0.004852
54,2485.02,1.08327,0.86333,1.32489,0.81659,0.85528,0.9062,0.6188,1.15103,0.86942,1.52276,0.004753,0.004753,0.004753
55,2530.49,1.07603,0.83884,1.32075,0.85043,0.84978,0.91054,0.6098,1.18574,0.8479,1.54344,0.004654,0.004654,0.004654
56,2575.88,1.07522,0.83423,1.32137,0.86138,0.86986,0.91894,0.61949,1.16439,0.84719,1.52472,0.004555,0.004555,0.004555
57,2621.35,1.0632,0.83151,1.31324,0.83665,0.8678,0.91669,0.6109,1.19304,0.85172,1.54989,0.004456,0.004456,0.004456
58,2666.75,1.0595,0.81949,1.30971,0.84412,0.83008,0.89053,0.60323,1.1745,0.92629,1.54597,0.004357,0.004357,0.004357
59,2712.18,1.06309,0.82708,1.31435,0.81329,0.86648,0.90741,0.61304,1.18238,0.86873,1.54498,0.004258,0.004258,0.004258
60,2757.6,1.05545,0.81334,1.31485,0.81504,0.85686,0.89968,0.6119,1.16505,0.86705,1.51263,0.004159,0.004159,0.004159
61,2802.99,1.0625,0.80184,1.30156,0.84298,0.87483,0.91491,0.6195,1.15301,0.82678,1.52034,0.00406,0.00406,0.00406
62,2848.45,1.05219,0.79674,1.30631,0.83607,0.86708,0.90684,0.61502,1.15047,0.85895,1.52657,0.003961,0.003961,0.003961
63,2893.82,1.04371,0.79863,1.298,0.85572,0.87471,0.91319,0.61788,1.17574,0.80331,1.5358,0.003862,0.003862,0.003862
64,2939.27,1.03888,0.77955,1.29858,0.85685,0.86791,0.91562,0.62461,1.16168,0.81269,1.51012,0.003763,0.003763,0.003763
65,2984.68,1.05075,0.78881,1.29988,0.82161,0.88048,0.915,0.62248,1.16693,0.81104,1.52365,0.003664,0.003664,0.003664
